# S3-async after — 2026-09-22 13:30:27
# base=http://localhost:8080 users=30 duration=300s topic=MOVIE_WATCHING/LEVEL_3 audio=scripts/test_audio.webm
# 서버: SPRING_PROFILES_ACTIVE=dev STT_ENABLED=false LLM_ENABLED=false STT_MOCK_DELAY_MS=3000 LLM_MOCK_DELAY_MS=4500 JAVA_TOOL_OPTIONS="-Xms2g -Xmx2g" ./gradlew bootRun (MySQL 3307, 실제 R2, 워커 동시 상한 30)
# 요약: 접수 248/248 202, p95 0.032s(SLO 0.5s ✓). 접수→완료 p50 12.3s / p95 18.3s / max 26.7s — S1 단독(10.3s) 대비 p95 +8s는 큐 대기(큐 max 40, 처리 중 max 30 = 동시 상한에 붙음).
#       처리량 44콤보/분(전환 전 k6 1,080건/5분 = 216/분): 동기는 상한이 없어 30명이 각자 7.5s씩 자고 끝났고, 비동기는 워커 슬롯 30이 상한. 30명 연속 제출 = 문항 ~90개 동시 요구 vs 슬롯 30. 상한은 설정값(backlog "동시 상한 산정").
#       GC 5분: Humongous 3회(전환 전 25회 — 오디오가 HTTP 요청 힙을 안 거침), Evacuation 4회, Full GC 0.
#       FAILED 1/682: R2 "key does not exist" — 스크립트가 PUT 응답을 확인 안 하고 접수함(브라우저는 put.ok 확인 후 접수). 워커는 이걸 3회 재시도했는데 404는 재시도 무의미 → 후속.
user attemptId                             q   http  submit_s  complete_s
8   0fe17dd1-ae26-485c-b47c-d8f48d1460d3  3   202   0.023514  10.3
8   eef64d5d-d1fc-4151-953e-f4cf3422e5d5  3   202   0.024220  12.3
8   61df3f3d-3af0-4cd3-9af9-e8d67114ef93  3   202   0.024375  12.3
8   53ed260f-b63f-4470-8507-feaf481b4572  3   202   0.025192  12.3
8   9a25af7a-f6ea-4245-b879-93e11732c5d0  2   202   0.029533  16.3
9   5762eda7-663b-4833-8de2-404cb989b0ec  3   202   0.012092  14.3
9   40ce8a54-3e5d-4239-a07b-1dc353cbaa42  2   202   0.013670  12.5
9   14498010-c1de-49be-a96d-c7461f4aca97  2   202   0.015560  12.3
9   9c315dbc-9b94-4444-ba92-1a4c9de51f4a  2   202   0.018938  10.2
9   8e244410-5e1a-4182-8be7-6bc6c5430a66  2   202   0.019566  12.2
9   99af70d9-9756-4c39-b7c8-2082d5c70ba6  3   202   0.020067  14.3
9   552dd695-4b0c-406b-a294-d7f99f5c0106  3   202   0.021517  14.3
9   1a672a27-5f47-4aff-a363-b69adf419080  3   202   0.022906  10.2
9   932ad439-0c1a-48bd-84f6-a5c177ee40c9  2   202   0.023813  12.3
10  dbec190e-98ff-47e0-8f37-e91bb40bf7c1  3   202   0.017511  12.3
10  9bc26e61-c710-4c32-b8a6-f0ba37c3de35  3   202   0.019115  12.3
10  19458458-dd7b-4af1-ad41-f0d7525e55d2  3   202   0.019248  12.3
10  aabc8029-db96-4597-8b85-479cd7f3a384  3   202   0.020892  26.4
10  ec1deade-4859-446a-9639-8451295f7fdc  3   202   0.024012  10.2
10  52d7a265-877c-465b-90ed-675d4df92ce4  3   202   0.025241  12.3
10  68002afb-0078-4117-8417-fedc4d361be8  2   202   0.025904  12.3
10  74a1125f-fae7-4e6c-89a1-12e4579a085d  3   202   0.029450  12.3
11  9a8f4073-5edd-4f55-afe1-867d5e03f7e5  2   202   0.016271  12.2
11  64d6199c-db83-4409-b2a7-d87a5fc1a416  3   202   0.017486  14.3
11  42c6b611-b564-417a-a10f-6c918336244a  3   202   0.017939  12.2
11  122e0182-8042-4ca5-9c51-04286e74a353  3   202   0.021038  14.2
11  63bc51d9-8ed7-411c-98e1-93fcb26f25eb  2   202   0.021284  10.2
11  1e70a92c-4911-4794-82d3-b9138d652daa  3   202   0.021775  14.3
11  d3930c34-2411-442c-9b2b-44160a2b1f64  3   202   0.022600  12.2
11  9bf9299a-bc2b-4e46-9e43-e5cac063f3d0  3   202   0.032180  16.3
12  23f3ebaf-1533-49fd-b85b-664e617c0ea0  2   202   0.016298  12.3
12  9cfa8b27-665b-4358-be1b-8e5f7e326ced  3   202   0.017185  14.3
12  01fa65fe-15a6-4f02-a980-8640752fcc69  2   202   0.019460  12.3
12  ca2bbcac-ce77-4a03-8620-ad5f31ceeeab  3   202   0.020994  12.3
12  df50d334-0c56-4006-a804-10e56a26c730  2   202   0.022008  14.4
12  1e238065-260f-49ec-9618-d29eedc11d9c  3   202   0.023234  12.3
12  e6c9be24-611c-4072-b2f3-83dce146127e  3   202   0.031265  12.3
12  f4ea8a0b-081d-4e2e-85ff-eb636eae21ce  3   202   0.066022  10.3
13  076fa93a-b772-464b-850a-bb1c456ede71  3   202   0.017775  12.3
13  90cf7101-cd1c-43f8-929a-48db2ff56958  3   202   0.017817  12.3
13  4b82bf11-bb44-4eba-8206-d1f1b6c56db3  3   202   0.019531  12.3
13  8c089fab-63fb-4fe6-bb4e-4137154f2d16  2   202   0.020273  10.3
13  05e6da74-acb6-4186-8d61-1223ebdd2d6c  3   202   0.021290  14.3
13  19597008-61a2-4977-9ff3-d0f89a0eace0  3   202   0.022177  10.2
13  82cf88c2-d427-41df-918d-4eef32347a30  3   202   0.026380  14.3
13  22e480d5-a70c-4806-9881-3d0bc9446246  3   202   0.026422  12.3
13  30d09c7f-cc1e-4cda-9645-d8c776d120f0  2   202   0.046052  10.3
14  44602142-e2ab-4595-8ed9-a5ddad89e489  3   202   0.017383  10.2
14  7c697c0b-674c-46ba-b2e0-96b340b64bc5  3   202   0.018257  12.3
14  ff88efbc-aa70-4c4d-ae26-d18709d087b4  2   202   0.020216  12.3
14  db78d50c-fdad-425b-b295-2749390d7915  2   202   0.020227  10.3
14  733e6f38-fa3e-4c9f-b1d1-962b1917bda8  3   202   0.020351  12.6
14  90c565d1-84bd-4b2e-af48-a99161d67c33  3   202   0.022895  12.3
14  f6db1cc8-8d1b-4837-956c-72a333428918  3   202   0.023954  18.4
14  83bf3deb-52f3-4ea5-ae4b-e585f93cbb69  3   202   0.025971  14.4
15  bab21526-e090-4952-a583-6e8b5e4ab66d  3   202   0.016020  12.2
15  1b8cff71-a950-45cf-ab9d-eee5e6d6c9c8  3   202   0.016198  10.3
15  d9ae9f88-a8da-4a46-acf9-70207b28902d  3   202   0.018493  10.2
15  d3003a0d-dbe8-4f31-93e0-8168d07ad611  2   202   0.021285  12.3
15  c5e6a698-b5c9-424d-898a-192537062a8f  3   202   0.021302  14.3
15  cf373756-7c46-476c-8d15-576b29fde240  3   202   0.024560  14.3
15  129a2ea3-d821-4c46-a141-9608796a73cd  3   202   0.024954  14.5
15  e5ffc5d9-ce59-4594-941e-950f2d8f07d6  3   202   0.031857  12.3
15  193a6646-bed4-4d5c-a46c-cf00ce76ebd8  2   202   0.033619  10.3
16  269cd99e-3943-4c01-8a24-bf711cbe4fb2  3   202   0.016489  10.3
16  0c078ce8-9a48-42f0-92ce-029bc552d43a  3   202   0.018746  12.3
16  4f65baa6-0bd6-4a7b-bd51-6339dc35f2d0  3   202   0.018752  16.3
16  30b5b7b3-b065-4986-ab51-a6d5c0936231  2   202   0.020447  12.2
16  9eb6b6c5-e2a2-4ce6-aa90-bf829ccc0901  3   202   0.020577  14.3
16  783156f0-84c8-4c1d-a40f-6b95a16217a9  3   202   0.023353  12.2
16  96f000ae-1e0a-4c67-bf91-d3bd1141507b  3   202   0.025248  10.2
16  20f36cdd-94e2-4629-a63e-26dbbac79d09  2   202   0.029179  12.3
17  cbbfab70-7887-43f3-8622-eb1df86d16aa  3   202   0.017030  12.3
17  46557946-9afa-41c0-b0c4-917b4dd6e0f2  3   202   0.017663  18.3
17  1f17e7df-3546-4f69-97bc-3f4acabd88d2  3   202   0.018260  12.3
17  1b67d29d-0615-4de0-9fc0-ace3a405a7e6  2   202   0.019935  12.3
17  05f9a24f-b05b-4867-9de1-27cf3e2c672f  3   202   0.020554  12.3
17  89f569d5-9e9a-4a15-9cf3-942d29602593  2   202   0.020756  14.3
17  fae46e93-5819-4001-b7aa-235be29f332d  3   202   0.021338  10.2
17  b9c274d1-d9c0-4aeb-b957-8d97915b1c04  3   202   0.022821  10.2
17  3a8b92e1-a16f-43e6-96f7-5a05b2b01c1e  3   202   0.049450  12.3
18  e69a8a1f-8823-479e-a74c-5fa36477527f  2   202   0.014181  12.2
18  e78f0b8f-a1dc-4f67-b987-f500b95534c0  2   202   0.018134  10.3
18  bb3db3c2-d874-4378-9f35-0e7f780c443d  2   202   0.019724  12.2
18  d3fd19fc-f5ff-4e61-bb5f-48dadb63939a  3   202   0.020328  12.3
18  2516ab71-87ca-4494-8689-00536e872e5e  3   202   0.024613  12.3
18  7ffc767b-8bdf-4476-86d8-289a8c64edda  3   202   0.024830  12.3
18  ccf75ded-0b12-40e9-a9d2-2c22584106dd  3   202   0.027866  12.3
18  87e41432-3041-433f-a6f6-96740880c248  3   202   0.032494  10.3
18  2984a534-a32c-436e-983c-dbfde0bf79f2  3   202   0.033688  18.4
19  c16d1768-645a-4c1a-a915-303e8a409a70  3   202   0.021366  12.3
19  da8d17f9-a8a3-4e98-9517-886a0aced25f  3   202   0.021948  12.3
19  9ec44da0-5a62-48fa-b241-276bd50018b2  3   202   0.023022  10.3
19  c931d02a-6abd-48c9-9327-b27171e72000  3   202   0.023328  12.3
19  d3db04ad-9743-449f-b3f8-3a6ee1eebf47  3   202   0.025308  24.4
19  03c585a9-a758-42c1-a243-35fbe56b4fa6  3   202   0.025947  14.5
19  d14cef04-7f63-401d-a268-6d108bf2e68a  3   202   0.030101  12.3
19  c8519e79-2b3f-430a-8c2e-6f5c5888556a  3   202   0.034707  12.3
20  75ed0a2d-b64f-42d7-b55d-421c23dae7c5  2   202   0.009834  14.2
20  270db763-7507-4dde-915c-2ccee4038905  2   202   0.019218  12.2
20  08a2fb0b-dfe8-464d-b284-52ae0a54d029  2   202   0.021047  14.3
20  92992b5b-2c9e-42f6-964a-15d299476dd9  3   202   0.021451  10.2
20  3f1f0489-8fba-41a9-976d-deb8ff9c8dda  2   202   0.022147  12.3
20  5f18109b-8086-4bcf-9f8a-631fea47ba46  2   202   0.022342  12.3
20  ebc05ea7-7dc5-44dd-9bc1-b0edea6f6e7b  2   202   0.025040  14.5
20  12b8c55e-27ad-47e9-8229-0a2592fd9686  3   202   0.026488  10.4
20  cb986a5d-ba01-4c3d-919a-e3911c68634b  3   202   0.031401  12.3
21  a64e02c3-1d06-45db-b583-4633b07313d0  2   202   0.014945  12.2
